COD_ETU;Note : TLMP1104;Résultat : TLMP1104;Session : TLMP1104;Année : TLMP1104;Note : TLMP1204;Résultat : TLMP1204;Session : TLMP1204;Année : TLMP1204;Note : TLMP1304;Résultat : TLMP1304;Session : TLMP1304;Année : TLMP1304;Note : TLMP1404;Résultat : TLMP1404;Session : TLMP1404;Année : TLMP1404;Note : TLMP1504;Résultat : TLMP1504;Session : TLMP1504;Année : TLMP1504;Note : TLMP1604;Résultat : TLMP1604;Session : TLMP1604;Année : TLMP1604;Note : TLMP1004;Résultat : TLMP1004;Session : TLMP1004;Année : TLMP1004;Note : TLMP2104;Résultat : TLMP2104;Session : TLMP2104;Année : TLMP2104;Note : TLMP2204;Résultat : TLMP2204;Session : TLMP2204;Année : TLMP2204;Note : TLMP2304;Résultat : TLMP2304;Session : TLMP2304;Année : TLMP2304;Note : TLMP2404;Résultat : TLMP2404;Session : TLMP2404;Année : TLMP2404;Note : TLMP2504;Résultat : TLMP2504;Session : TLMP2504;Année : TLMP2504;Note : TLMP2604;Résultat : TLMP2604;Session : TLMP2604;Année : TLMP2604;Note : TLMP2004;Résultat : TLMP2004;Session : TLMP2004;Année : TLMP2004
15005623;8.8;AC;2;2015;8.6;AC;2;2015;7.8;AC;2;2015;15.4;V;1;2015;10.5;V;1;2015;10 125;V;1;2015;10 204;V;2;2015;15.1;V;1;2015;8.5;AC;2;2015;10.02;V;1;2015;12.3;V;1;2015;10;V;2;2015;11;V;1;2015;11 153;V;2;2015
15005625;7.35;NV;2;2015;7.8;NV;2;2015;6.6;NV;2;2015;7.4;NV;2;2015;10;V;2;2015;10;V;2;2015;8 192;NV;2;2015;5.05;NV;2;2015;2;NRA;1;2015;0;NRA;1;2015;1.3;NRA;1;2015;1 625;NRA;1;2015;0;NRA;1;2015;1 663;NV;2;2015
15005627;3.9;NRA;1;2015;1.6;NRA;1;2015;4.2;NRA;1;2015;8;NV;2;2015;10;V;1;2015;10 375;V;1;2015;6 346;NV;2;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NV;2;2015
15005626;10.1;V;1;2015;8;AC;2;2015;8;AC;2;2015;13.1;V;1;2015;10.25;V;1;2015;12 375;V;1;2015;10 304;V;2;2015;13.25;V;1;2015;10;V;2;2015;7;AC;2;2015;12.55;V;1;2015;10 495;V;1;2015;11.25;V;1;2015;10 758;V;2;2015
15005628;6;NV;2;2015;10;V;2;2015;4.1;NRA;1;2015;11;V;1;2015;12;V;1;2015;13.75;V;1;2015;9 475;NV;2;2015;10;V;2;2015;5.4;NV;2;2015;1.5;NRA;1;2015;4;NRA;1;2015;9.5;NV;2;2015;14 625;V;1;2015;7 504;NV;2;2015
15005644;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NV;2;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NV;2;2015
15005645;2.8;NRA;1;2015;7.5;NV;2;2015;4.1;NRA;1;2015;7.5;NV;2;2015;13.5;V;1;2015;12.75;V;1;2015;8 025;NV;2;2015;9;NV;2;2015;5.2;NV;2;2015;1.75;NRA;1;2015;1.9;NRA;1;2015;3.96;NRA;1;2015;10 625;V;1;2015;5 406;NV;2;2015
15005646;4.8;NRA;1;2015;3.2;NRA;1;2015;5.2;NV;2;2015;10;V;1;2015;10;V;2;2015;12 375;V;1;2015;7 596;NV;2;2015;14.2;V;1;2015;5.2;NV;2;2015;5.2;NV;2;2015;10;V;2;2015;9;NV;2;2015;11 625;V;1;2015;9 204;NV;2;2015
15005647;.55;NRA;1;2015;.4;NRA;1;2015;.4;NRA;1;2015;8;NV;2;2015;11;V;1;2015;10;V;2;2015;5 058;NV;2;2015;10;V;2;2015;0;NRA;1;2015;.35;NRA;1;2015;4.6;NRA;1;2015;6.5;NV;2;2015;4 375;NRA;1;2015;4 304;NV;2;2015
15005648;4.1;NRA;1;2015;7.2;NV;2;2015;2.2;NRA;1;2015;5.9;NV;2;2015;10;V;2;2015;10;V;2;2015;6 567;NV;2;2015;13;V;1;2015;7;NV;2;2015;5.5;NV;2;2015;2.7;NRA;1;2015;7 285;NV;2;2015;12;V;1;2015;7 914;NV;2;2015
15005649;8.1;NV;2;2015;6.8;NV;2;2015;3.6;NRA;1;2015;10;V;2;2015;10;V;1;2015;10;V;2;2015;8 083;NV;2;2015;15.65;V;1;2015;10;V;2;2015;5.5;NV;2;2015;8.3;NV;2;2015;11.31;V;1;2015;12;V;1;2015;10.46;NV;2;2015
15005651;3.15;NRA;1;2015;0;NRA;1;2015;1;NRA;1;2015;10.1;V;1;2015;10;V;2;2015;10;V;2;2015;5 708;NV;2;2015;10;V;2;2015;2.4;NRA;1;2015;0;NRA;1;2015;10;V;2;2015;9;NV;2;2015;11.75;V;1;2015;7 192;NV;2;2015
15005653;5;NV;2;2015;8.2;NV;2;2015;1.6;NRA;1;2015;7.4;NV;2;2015;13.75;V;1;2015;14 375;V;1;2015;8 388;NV;2;2015;13.3;V;1;2015;7;NV;2;2015;2.8;NRA;1;2015;1.5;NRA;1;2015;10;V;2;2015;13.75;V;1;2015;8 058;NV;2;2015
15005654;3.85;NRA;1;2015;7;NV;2;2015;5;NV;2;2015;5.9;NV;2;2015;6;NV;2;2015;9.5;NV;2;2015;6 208;NV;2;2015;10;V;2;2015;.4;NRA;1;2015;0;NRA;1;2015;1.3;NRA;1;2015;5;NV;2;2015;10 875;V;1;2015;4 596;NV;2;2015
15005655;2.9;NRA;1;2015;6;NV;2;2015;0;NRA;1;2015;3.4;NRA;1;2015;10;V;1;2015;10;V;2;2015;5 383;NV;2;2015;5;NV;2;2015;5.3;NV;2;2015;.35;NRA;1;2015;.4;NRA;1;2015;1 625;NRA;1;2015;10;V;1;2015;3 779;NV;2;2015
15005656;4.7;NRA;1;2015;2.4;NRA;1;2015;0;NRA;1;2015;6.2;NV;2;2015;8;NV;2;2015;11;V;1;2015;5 383;NV;2;2015;10;V;2;2015;.8;NRA;1;2015;0;NRA;1;2015;10;V;2;2015;7.5;NV;2;2015;10.75;V;1;2015;6 508;NV;2;2015
