COD_ETU;Note : TLGE3104;Résultat : TLGE3104;Session : TLGE3104;Année : TLGE3104;Note : TLGE3204;Résultat : TLGE3204;Session : TLGE3204;Année : TLGE3204;Note : TLGE3304;Résultat : TLGE3304;Session : TLGE3304;Année : TLGE3304;Note : TLGE3404;Résultat : TLGE3404;Session : TLGE3404;Année : TLGE3404;Note : TLGE3504;Résultat : TLGE3504;Session : TLGE3504;Année : TLGE3504;Note : TLGE3604;Résultat : TLGE3604;Session : TLGE3604;Année : TLGE3604;Note : TLGE3004;Résultat : TLGE3004;Session : TLGE3004;Année : TLGE3004;Note : TLGE4104;Résultat : TLGE4104;Session : TLGE4104;Année : TLGE4104;Note : TLGE4204;Résultat : TLGE4204;Session : TLGE4204;Année : TLGE4204;Note : TLGE4304;Résultat : TLGE4304;Session : TLGE4304;Année : TLGE4304;Note : TLGE4404;Résultat : TLGE4404;Session : TLGE4404;Année : TLGE4404;Note : TLGE4504;Résultat : TLGE4504;Session : TLGE4504;Année : TLGE4504;Note : TLGE4604;Résultat : TLGE4604;Session : TLGE4604;Année : TLGE4604;Note : TLGE4004;Résultat : TLGE4004;Session : TLGE4004;Année : TLGE4004
18005239;1;NV;2;2021;5;NV;2;2021;7;NV;2;2021;13;V;1;2020;10;V;2;2020;13.5;V;1;2019;8.25;NV;2;2021;2.5;NV;2;2021;5.25;NV;2;2021;10;V;1;2020;12.75;V;1;2020;10;V;2;2019;5;NV;2;2021;7 583;NV;2;2021
18005240;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;;;;;0;NRA;1;2021;;;;;;;1;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2021
18005242;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;15;V;1;2019;2.5;NV;2;2021;;;;;;;;;;;;;;;;;0;NRA;1;2021;;;;;;;1;2021
18005243;7;AC;2;2021;11.4;V;1;2021;10.5;V;1;2020;12.8;V;1;2020;7;AC;2;2021;13.5;V;1;2019;10 367;V;2;2021;5 063;NV;2;2021;10;V;2;2020;13;V;1;2019;11;V;1;2020;13;V;1;2019;4.5;NV;2;2021;9 427;NV;2;2021
18005247;0;NRA;1;2021;0;NRA;1;2021;;;;;7.5;NV;2;2021;0;NRA;1;2021;6.5;NV;2;2021;;;1;2021;3 938;NV;2;2021;;;;;;;;;9;NV;2;2021;7.25;NV;2;2021;.5;NV;2;2021;;;1;2021
18005249;3;NV;2;2021;0;NRA;1;2021;5;NV;2;2021;12;V;1;2020;10;V;2;2020;10.5;V;1;2019;6.75;NV;2;2021;;;;;0;;1;2021;;;;;;;;;;;1;2021;0;NRA;1;2021;;;;
18005252;10;V;2;2021;1.6;NV;2;2021;8.7;NV;2;2021;11;V;1;2020;0;NRA;1;2021;11;V;1;2019;7.05;NV;2;2021;;;;;0;;1;2021;;;;;;;;;;;;;0;NRA;1;2021;;;;
18005253;10.5;V;1;2020;8;AC;2;2021;12;V;1;2020;10;V;2;2021;10;V;2;2020;10;V;1;2019;10 083;V;2;2021;6.25;NV;2;2021;10;V;2;2021;10;V;2;2021;10;V;2;2020;10.75;V;1;2021;3.5;NV;2;2021;8 417;NV;2;2021
18005254;0;NRA;1;2021;0;NRA;1;2021;.25;NV;2;2021;10;V;2;2019;10;V;2;2020;16.5;V;1;2019;6 125;NV;2;2021;;;;;0;NRA;1;2021;0;NRA;1;2021;17.5;V;1;2020;10;V;1;2019;;;;;;;1;2021
18005257;;;;;;;;;10;V;1;2021;;;;;;;;;10;V;1;2021;;;1;2021;.75;NV;2;2021;3.75;NV;2;2021;8;NV;2;2021;10;V;2;2020;12;V;1;2019;.25;NV;2;2021;5 792;NV;2;2021
